# 英雄技能数据表
# Hero(英雄), Skill Name(技能名称), Level(等级), Type(类型), Attack Mod(命中修正), Damage Mod(伤害修正), Crit Mod(暴击修正), Launch Pos(发动位置), Target Pos(目标位置), Effects(效果), Notes(说明)
Hero,Skill Name,Level,Type,Attack Mod,Damage Mod,Crit Mod,Launch Pos,Target Pos,Effects,Notes
Grave Robber,Toxin Trickery,1,melee,0%,0%,0%,4-3-2-1,-,Shadow Blood 2/GR Self Speed 2,使用毒素提升速度和闪避,
Grave Robber,Toxin Trickery,2,melee,0%,0%,0%,4-3-2-1,-,Shadow Blood 3/GR Self Speed 3,使用毒素提升速度和闪避,
Grave Robber,Toxin Trickery,3,melee,0%,0%,0%,4-3-2-1,-,Shadow Blood 4/GR Self Speed 4,使用毒素提升速度和闪避,
Grave Robber,Toxin Trickery,4,melee,0%,0%,0%,4-3-2-1,-,Shadow Blood 5/GR Self Speed 5,使用毒素提升速度和闪避,
Jester,Dirk Stab,0,melee,85%,0%,5%,4-3-2-1,1-2-3,Build to Finale/Move 0 1,匕首突刺，向前移动一格
Jester,Dirk Stab,1,melee,90%,0%,6%,4-3-2-1,1-2-3,Build to Finale/Move 0 1,匕首突刺，向前移动一格
Jester,Dirk Stab,2,melee,95%,0%,7%,4-3-2-1,1-2-3,Build to Finale/Move 0 1,匕首突刺，向前移动一格
Jester,Dirk Stab,3,melee,100%,0%,8%,4-3-2-1,1-2-3,Build to Finale/Move 0 1,匕首突刺，向前移动一格
Jester,Dirk Stab,4,melee,105%,0%,9%,4-3-2-1,1-2-3,Build to Finale/Move 0 1,匕首突刺，向前移动一格
Jester,Harvest,0,melee,90%,-50%,0%,3-2,2-3,Bleed 1/Build to Finale,收割技能，造成群体流血
Jester,Harvest,1,melee,95%,-50%,1%,3-2,2-3,Bleed 2/Build to Finale,收割技能，造成群体流血
Jester,Harvest,2,melee,100%,-50%,2%,3-2,2-3,Bleed 3/Build to Finale,收割技能，造成群体流血
Jester,Harvest,3,melee,105%,-50%,3%,3-2,2-3,Bleed 4/Build to Finale,收割技能，造成群体流血
Jester,Harvest,4,melee,110%,-50%,4%,3-2,2-3,Bleed 5/Build to Finale,收割技能，造成群体流血
Jester,Heroic End,0,melee,140%,50%,5%,1-2,1-2-3-4,Mortal Weakness/Mortal Weakness Stress,终幕表演，造成巨额伤害
Jester,Heroic End,1,melee,145%,50%,6%,1-2,1-2-3-4,Mortal Weakness/Mortal Weakness Stress,终幕表演，造成巨额伤害
Jester,Heroic End,2,melee,150%,50%,7%,1-2,1-2-3-4,Mortal Weakness/Mortal Weakness Stress,终幕表演，造成巨额伤害
Jester,Heroic End,3,melee,155%,50%,8%,1-2,1-2-3-4,Mortal Weakness/Mortal Weakness Stress,终幕表演，造成巨额伤害
Jester,Heroic End,4,melee,160%,50%,9%,1-2,1-2-3-4,Mortal Weakness/Mortal Weakness Stress,终幕表演，造成巨额伤害
Jester,Solo,0,ranged,125%,-100%,0%,4-3,1-2-3-4,Solo Mark Self/Jester Spotlight 1/Build to Finale 2,独奏表演，吸引敌人注意
Jester,Solo,1,ranged,130%,-100%,0%,4-3,1-2-3-4,Solo Mark Self/Jester Spotlight 2/Build to Finale 2,独奏表演，吸引敌人注意
Jester,Solo,2,ranged,135%,-100%,0%,4-3,1-2-3-4,Solo Mark Self/Jester Spotlight 3/Build to Finale 2,独奏表演，吸引敌人注意
Jester,Solo,3,ranged,140%,-100%,0%,4-3,1-2-3-4,Solo Mark Self/Jester Spotlight 4/Build to Finale 2,独奏表演，吸引敌人注意
Jester,Solo,4,ranged,145%,-100%,0%,4-3,1-2-3-4,Solo Mark Self/Jester Spotlight 5/Build to Finale 2,独奏表演，吸引敌人注意
Jester,Slice Off,0,melee,95%,-33%,8%,3-2,2-3,Strong Bleed 1/Build to Finale,精准切割，造成强力流血
Jester,Slice Off,1,melee,100%,-33%,9%,3-2,2-3,Strong Bleed 2/Build to Finale,精准切割，造成强力流血
Jester,Slice Off,2,melee,105%,-33%,10%,3-2,2-3,Strong Bleed 3/Build to Finale,精准切割，造成强力流血
Jester,Slice Off,3,melee,110%,-33%,11%,3-2,2-3,Strong Bleed 4/Build to Finale,精准切割，造成强力流血
Jester,Slice Off,4,melee,115%,-33%,12%,3-2,2-3,Strong Bleed 5/Build to Finale,精准切割，造成强力流血
Jester,Battle Ballad,0,ranged,0%,0%,0%,3-4,1-2-3-4,Embolden Team 1/Build to Finale Song,战斗颂歌，提升全队属性
Jester,Battle Ballad,1,ranged,0%,0%,0%,3-4,1-2-3-4,Embolden Team 2/Build to Finale Song,战斗颂歌，提升全队属性
Jester,Battle Ballad,2,ranged,0%,0%,0%,3-4,1-2-3-4,Embolden Team 3/Build to Finale Song,战斗颂歌，提升全队属性
Jester,Battle Ballad,3,ranged,0%,0%,0%,3-4,1-2-3-4,Embolden Team 4/Build to Finale Song,战斗颂歌，提升全队属性
Jester,Battle Ballad,4,ranged,0%,0%,0%,3-4,1-2-3-4,Embolden Team 5/Build to Finale Song,战斗颂歌，提升全队属性
Jester,Inspiring Tune,0,ranged,0%,0%,0%,4-3,1-2-3-4,InspiringTune 1/Jester Tune Buff 1/Build to Finale Song,鼓舞之音，减少压力和增益
Jester,Inspiring Tune,1,ranged,0%,0%,0%,4-3,1-2-3-4,InspiringTune 2/Jester Tune Buff 2/Build to Finale Song,鼓舞之音，减少压力和增益
Jester,Inspiring Tune,2,ranged,0%,0%,0%,4-3,1-2-3-4,InspiringTune 3/Jester Tune Buff 3/Build to Finale Song,鼓舞之音，减少压力和增益
Jester,Inspiring Tune,3,ranged,0%,0%,0%,4-3,1-2-3-4,InspiringTune 4/Jester Tune Buff 4/Build to Finale Song,鼓舞之音，减少压力和增益
Jester,Inspiring Tune,4,ranged,0%,0%,0%,4-3,1-2-3-4,InspiringTune 5/Jester Tune Buff 5/Build to Finale Song,鼓舞之音，减少压力和增益
Abomination,Manacles,0,ranged,90%,-75%,0%,2-3-4,1-2-3,Stun 1/Stress 1,锁链束缚，造成眩晕和压力
Abomination,Manacles,1,ranged,95%,-75%,0%,2-3-4,1-2-3,Stun 2/Stress 1,锁链束缚，造成眩晕和压力
Abomination,Manacles,2,ranged,100%,-75%,0%,2-3-4,1-2-3,Stun 3/Stress 1,锁链束缚，造成眩晕和压力
Abomination,Manacles,3,ranged,105%,-75%,0%,2-3-4,1-2-3,Stun 4/Stress 1,锁链束缚，造成眩晕和压力
Abomination,Manacles,4,ranged,110%,-75%,0%,2-3-4,1-2-3,Stun 5/Stress 1,锁链束缚，造成眩晕和压力
Abomination,Beast Form,0,transform,100%,0%,0%,1-2-3-4,-,Transform/Stress All 2,变身为野兽形态
Abomination,Beast Form,1,transform,100%,0%,0%,1-2-3-4,-,Transform/Stress All 2,变身为野兽形态
Abomination,Beast Form,2,transform,100%,0%,0%,1-2-3-4,-,Transform/Stress All 2,变身为野兽形态
Abomination,Beast Form,3,transform,100%,0%,0%,1-2-3-4,-,Transform/Stress All 2,变身为野兽形态
Abomination,Beast Form,4,transform,100%,0%,0%,1-2-3-4,-,Transform/Stress All 2,变身为野兽形态
Abomination,Transform,0,support,0%,0%,0%,4-3-2-1,self,switch_mode_beast_self/beast_stress_party/beast_buff_1/beast_buff2_1/xform_damage_1/Transform_HealSelf_1,变身，转换为野兽形态
Abomination,Transform,1,support,0%,0%,0%,4-3-2-1,self,switch_mode_beast_self/beast_stress_party/beast_buff_2/beast_buff2_2/xform_damage_2/Transform_HealSelf_2,变身，转换为野兽形态
Abomination,Transform,2,support,0%,0%,0%,4-3-2-1,self,switch_mode_beast_self/beast_stress_party/beast_buff_3/beast_buff2_3/xform_damage_3/Transform_HealSelf_3,变身，转换为野兽形态
Abomination,Transform,3,support,0%,0%,0%,4-3-2-1,self,switch_mode_beast_self/beast_stress_party/beast_buff_4/beast_buff2_4/xform_damage_4/Transform_HealSelf_4,变身，转换为野兽形态
Abomination,Transform,4,support,0%,0%,0%,4-3-2-1,self,switch_mode_beast_self/beast_stress_party/beast_buff_5/beast_buff2_5/xform_damage_5/Transform_HealSelf_5,变身，转换为野兽形态
Abomination,Manacles,0,ranged,95%,-60%,1%,3-2,1-2-3,Manacles Stun 1,枷锁，造成眩晕
Abomination,Manacles,1,ranged,100%,-60%,2%,3-2,1-2-3,Manacles Stun 2,枷锁，造成眩晕
Abomination,Manacles,2,ranged,105%,-60%,3%,3-2,1-2-3,Manacles Stun 3,枷锁，造成眩晕
Abomination,Manacles,3,ranged,110%,-60%,4%,3-2,1-2-3,Manacles Stun 4,枷锁，造成眩晕
Abomination,Manacles,4,ranged,115%,-60%,5%,3-2,1-2-3,Manacles Stun 5,枷锁，造成眩晕
Abomination,Vomit,0,ranged,95%,-90%,2%,3-2,2-3,Abom Vomit 1/Vomit Debuff 1,呕吐，造成中毒和减速
Abomination,Vomit,1,ranged,100%,-90%,3%,3-2,2-3,Abom Vomit 2/Vomit Debuff 2,呕吐，造成中毒和减速
Abomination,Vomit,2,ranged,105%,-90%,4%,3-2,2-3,Abom Vomit 3/Vomit Debuff 3,呕吐，造成中毒和减速
Abomination,Vomit,3,ranged,110%,-90%,5%,3-2,2-3,Abom Vomit 4/Vomit Debuff 4,呕吐，造成中毒和减速
Abomination,Vomit,4,ranged,115%,-90%,6%,3-2,2-3,Abom Vomit 5/Vomit Debuff 5,呕吐，造成中毒和减速
Abomination,Absolution,0,support,0%,0%,0%,4-3-2-1,self,Absolution HealStress 1/Absolution Heal 1,赎罪，恢复生命值和压力
Abomination,Absolution,1,support,0%,0%,0%,4-3-2-1,self,Absolution HealStress 2/Absolution Heal 2,赎罪，恢复生命值和压力
Abomination,Absolution,2,support,0%,0%,0%,4-3-2-1,self,Absolution HealStress 3/Absolution Heal 3,赎罪，恢复生命值和压力
Abomination,Absolution,3,support,0%,0%,0%,4-3-2-1,self,Absolution HealStress 4/Absolution Heal 4,赎罪，恢复生命值和压力
Abomination,Absolution,4,support,0%,0%,0%,4-3-2-1,self,Absolution HealStress 5/Absolution Heal 5,赎罪，恢复生命值和压力
Abomination,Rake,0,melee,90%,-50%,-3%,2-1,1-2,rakebuff_1,撕裂，群体伤害并提升伤害
Abomination,Rake,1,melee,95%,-50%,-2%,2-1,1-2,rakebuff_2,撕裂，群体伤害并提升伤害
Abomination,Rake,2,melee,100%,-50%,-1%,2-1,1-2,rakebuff_3,撕裂，群体伤害并提升伤害
Abomination,Rake,3,melee,105%,-50%,0%,2-1,1-2,rakebuff_4,撕裂，群体伤害并提升伤害
Abomination,Rake,4,melee,110%,-50%,1%,2-1,1-2,rakebuff_5,撕裂，群体伤害并提升伤害
Abomination,Rage,0,melee,85%,0%,7.5%,2-1,1-2-3,None,狂暴，高伤害近战攻击
Abomination,Rage,1,melee,90%,0%,8.5%,2-1,1-2-3,None,狂暴，高伤害近战攻击
Abomination,Rage,2,melee,95%,0%,9.5%,2-1,1-2-3,None,狂暴，高伤害近战攻击
Abomination,Rage,3,melee,100%,0%,10.5%,2-1,1-2-3,None,狂暴，高伤害近战攻击
Abomination,Rage,4,melee,105%,0%,11.5%,2-1,1-2-3,None,狂暴，高伤害近战攻击
Abomination,Slam,0,melee,80%,-25%,1%,3-2-1,1-2,Push 2A/Slam Debuff 1,猛击，击退并降低保护
Abomination,Slam,1,melee,85%,-25%,2%,3-2-1,1-2,Push 2B/Slam Debuff 2,猛击，击退并降低保护
Abomination,Slam,2,melee,90%,-25%,3%,3-2-1,1-2,Push 2C/Slam Debuff 3,猛击，击退并降低保护
